"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Date of last meeting booked in meetings tool","engagements_last_meeting_booked","datetime","The date of the most recent meeting an associated contact has booked through the meetings tool.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Campaign of last booking in meetings tool","engagements_last_meeting_booked_campaign","string","This UTM parameter shows which marketing campaign (e.g. a specific email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Medium of last booking in meetings tool","engagements_last_meeting_booked_medium","string","This UTM parameter shows which channel (e.g. email) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Source of last booking in meetings tool","engagements_last_meeting_booked_source","string","This UTM parameter shows which site (e.g. Twitter) referred an associated contact to the meetings tool for their most recent booking. This property is only populated when you add tracking parameters to your meeting link. ","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Is Closed Won","hs_is_closed_won","bool","True if the deal is in the closed won state, false otherwise","deal_activity","false","[{""label"":""True"",""value"":""true"",""displayOrder"":0},{""label"":""False"",""value"":""false"",""displayOrder"":1}]","true","true","false","false","false","true","HubSpot",""
"Last Modified Date","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this deal. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Owner Assigned Date","hubspot_owner_assigneddate","datetime","The date the most recent deal owner was assigned to a deal. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Last Contacted","notes_last_contacted","datetime","The last time a call, sales email, or meeting was logged for this deal. This is set automatically by HubSpot based on user actions.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Last Activity Date","notes_last_updated","datetime","The last time a note, call, email, meeting, or task was logged for a deal. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Next Activity Date","notes_next_activity_date","datetime","The date of the next upcoming activity for a deal. This property is set automatically by HubSpot based on user action. This includes logging a future call, sales email, or meeting using the Log feature, as well as creating a future task or scheduling a future meeting. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Number of times contacted","num_contacted_notes","number","The total number of sales activities (notes, calls, emails, meetings, or tasks) logged for a deal. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Number of Sales Activities","num_notes","number","The total number of times a sales email or call has been logged for a deal. This is updated automatically by HubSpot.","deal_activity","false","","true","true","false","false","false","true","HubSpot",""
"Pipeline","pipeline","enumeration","The pipeline the deal is in. This determines which stages are options for the deal.","deal_activity","false","","false","true","false","true","false","true","HubSpot",""
"Amount","amount","number","The total amount of the deal","deal_revenue","false","","false","true","false","false","false","true","HubSpot",""
"Amount in company currency","amount_in_home_currency","number","The amount of the deal, using the exchange rate, in your company's currency","deal_revenue","false","","true","true","true","false","false","true","HubSpot",""
"Annual contract value","hs_acv","number","The annual contract value (ACV) of this deal.","deal_revenue","false","","true","true","true","false","false","true","HubSpot",""
"Annual recurring revenue","hs_arr","number","The annual recurring revenue (ARR) of this deal.","deal_revenue","false","","true","true","true","false","false","true","HubSpot",""
"Exchange rate","hs_exchange_rate","number","This is the exchange rate used to convert the deal amount into your company currency.","deal_revenue","false","","false","true","false","false","false","true","HubSpot",""
"Monthly recurring revenue","hs_mrr","number","The monthly recurring revenue (MRR) of this deal.","deal_revenue","false","","true","true","true","false","false","true","HubSpot",""
"Total contract value","hs_tcv","number","The total contract value (TCV) of this deal.","deal_revenue","false","","true","true","true","false","false","true","HubSpot",""
"Close Date","closedate","datetime","Date the deal was closed. This property is set automatically by HubSpot.","dealinformation","false","","false","true","false","false","false","true","HubSpot",""
"Create Date","createdate","datetime","Date the deal was created. This property is set automatically by HubSpot.","dealinformation","false","","false","true","false","false","false","true","HubSpot",""
"Days to close","days_to_close","number","The number of days the deal took to close","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Deal Name","dealname","string","The name given to this deal.","dealinformation","false","","false","true","false","false","false","true","HubSpot",""
"Deal Type","dealtype","enumeration","The type of deal. By default, categorize your deal as either a New Business or Existing Business.","dealinformation","false","[{""label"":""New Business"",""value"":""newbusiness"",""displayOrder"":0},{""label"":""Existing Business"",""value"":""existingbusiness"",""displayOrder"":1}]","false","true","false","false","false","true","HubSpot",""
"Deal Description","description","string","Description of the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot",""
"Deal Collaborator","hs_all_collaborator_owner_ids","enumeration","Owner ids of the users involved in closing the deal","dealinformation","false","","true","true","false","true","false","true","HubSpot",""
"Is Closed Won (numeric)","hs_closed_won_count","number","This property is 1 if the deal is closed won, otherwise 0.","dealinformation","false","","true","true","true","false","false","true","HubSpot",""
"Created by user ID","hs_created_by_user_id","number","The user that created this object. This value is automatically set by HubSpot and may not be modified.","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Deal Score","hs_deal_score","number","The predictive deal score calculated by Hubspot AI to score the deal health","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Deal probability","hs_deal_stage_probability","number","The probability a deal will close. This defaults to the deal stage probability setting.","dealinformation","false","","false","true","false","false","false","true","HubSpot",""
"Forecast amount","hs_forecast_amount","number","The custom forecasted deal value calculated by multiplying the forecast probability and deal amount in your company’s currency.","dealinformation","false","","true","true","true","false","false","true","HubSpot",""
"Forecast probability","hs_forecast_probability","number","The custom percent probability a deal will close.","dealinformation","false","","false","true","false","false","false","true","HubSpot",""
"Is Deal Closed?","hs_is_closed","bool","True if the deal was won or lost.","dealinformation","false","[{""label"":""True"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""False"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","true","true","true","false","false","true","HubSpot",""
"Is Open (numeric)","hs_is_open_count","number","This property is 1 if the deal is not closed won or closed lost, otherwise 0","dealinformation","false","","true","true","true","false","false","true","HubSpot",""
"Forecast category","hs_manual_forecast_category","enumeration","The likelihood a deal will close. This property is used for manual forecasting your deals.","dealinformation","false","[{""label"":""Not forecasted"",""value"":""OMIT"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":true},{""label"":""Pipeline"",""value"":""PIPELINE"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Best case"",""value"":""BEST_CASE"",""displayOrder"":3,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Commit"",""value"":""COMMIT"",""displayOrder"":4,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Closed won"",""value"":""CLOSED"",""displayOrder"":5,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":true}]","false","true","false","false","false","true","HubSpot",""
"Merged Deal IDs","hs_merged_object_ids","enumeration","The list of Deal record IDs that have been merged into this Deal. This value is automatically set by HubSpot and may not be modified.","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Next step","hs_next_step","string","A short description of the next step for the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot",""
"Number of Associated Line Items","hs_num_of_associated_line_items","number","The number of line items associated with this deal","dealinformation","false","","true","true","true","false","false","true","HubSpot",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is automatically set by HubSpot and may not be modified.","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source Detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Record Source","hs_object_source_label","enumeration","How this record was created","dealinformation","false","","true","true","false","true","false","true","HubSpot",""
"Priority","hs_priority","enumeration","","dealinformation","false","[{""label"":""Low"",""value"":""low"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""Medium"",""value"":""medium"",""displayOrder"":1,""hidden"":false,""readOnly"":false},{""label"":""High"",""value"":""high"",""displayOrder"":2,""hidden"":false,""readOnly"":false}]","false","true","false","false","false","true","HubSpot",""
"Weighted amount","hs_projected_amount","number","Returns the multiplication of the amount times the probability of the deal closing.","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Weighted amount in company currency","hs_projected_amount_in_home_currency","number","Returns the multiplication of the amount in home currency times the probability of the deal closing.","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Deal Tags","hs_tag_ids","enumeration","List of tag ids applicable to a deal. This property is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot",""
"Updated by user ID","hs_updated_by_user_id","number","The user that last updated this object. This value is automatically set by HubSpot and may not be modified.","dealinformation","false","","true","true","false","false","false","true","HubSpot",""
"Deal owner","hubspot_owner_id","enumeration","User the deal is assigned to. Assign additional users to a deal record by creating a custom user property.","dealinformation","false","","false","true","false","true","false","true","HubSpot",""
"HubSpot Team","hubspot_team_id","enumeration","Primary team of the deal owner. This property is set automatically by HubSpot.","dealinformation","false","","true","true","false","true","false","true","HubSpot",""
"Number of Associated Contacts","num_associated_contacts","number","The number of contacts associated with this deal. This property is set automatically by HubSpot.","dealinformation","false","","true","true","true","false","false","true","HubSpot",""
"Cumulative time in ""(Online) Meeting (High Touch Pipeline)""","hs_v2_cumulative_time_in_142245866","number","The cumulative time in seconds spent by the deal in the '(Online) Meeting' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""(Online) Vervolgmeeting (High Touch Pipeline)""","hs_v2_cumulative_time_in_142245867","number","The cumulative time in seconds spent by the deal in the '(Online) Vervolgmeeting' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Overeenkomst / akkoord (High Touch Pipeline)""","hs_v2_cumulative_time_in_142245868","number","The cumulative time in seconds spent by the deal in the 'Overeenkomst / akkoord' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Deal Won (High Touch Pipeline)""","hs_v2_cumulative_time_in_142245869","number","The cumulative time in seconds spent by the deal in the 'Deal Won' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Deal Lost (High Touch Pipeline)""","hs_v2_cumulative_time_in_142245870","number","The cumulative time in seconds spent by the deal in the 'Deal Lost' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Contact data added (No/Low Touch Pipeline)""","hs_v2_cumulative_time_in_142246082","number","The cumulative time in seconds spent by the deal in the 'Contact data added' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Phone number added (No/Low Touch Pipeline)""","hs_v2_cumulative_time_in_142246083","number","The cumulative time in seconds spent by the deal in the 'Phone number added' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Submission succesful (No/Low Touch Pipeline)""","hs_v2_cumulative_time_in_142246084","number","The cumulative time in seconds spent by the deal in the 'Submission succesful' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Screening done (No/Low Touch Pipeline)""","hs_v2_cumulative_time_in_142246085","number","The cumulative time in seconds spent by the deal in the 'Screening done' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""IBAN addd (No/Low Touch Pipeline)""","hs_v2_cumulative_time_in_175667432","number","The cumulative time in seconds spent by the deal in the 'IBAN addd' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Closed lost (No/Low Touch Pipeline)""","hs_v2_cumulative_time_in_175667433","number","The cumulative time in seconds spent by the deal in the 'Closed lost' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""At Risk (Churn Pipeline)""","hs_v2_cumulative_time_in_239595508","number","The cumulative time in seconds spent by the deal in the 'At Risk' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Need Attention (Churn Pipeline)""","hs_v2_cumulative_time_in_239595509","number","The cumulative time in seconds spent by the deal in the 'Need Attention' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Potential Loyalist  (Churn Pipeline)""","hs_v2_cumulative_time_in_239595510","number","The cumulative time in seconds spent by the deal in the 'Potential Loyalist ' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Loyal (Churn Pipeline)""","hs_v2_cumulative_time_in_239595511","number","The cumulative time in seconds spent by the deal in the 'Loyal' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Champion (Churn Pipeline)""","hs_v2_cumulative_time_in_239595512","number","The cumulative time in seconds spent by the deal in the 'Champion' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Closed won (Churn Pipeline)""","hs_v2_cumulative_time_in_239595513","number","The cumulative time in seconds spent by the deal in the 'Closed won' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Closed lost (Churn Pipeline)""","hs_v2_cumulative_time_in_239595706","number","The cumulative time in seconds spent by the deal in the 'Closed lost' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Hibernating (Churn Pipeline)""","hs_v2_cumulative_time_in_239595707","number","The cumulative time in seconds spent by the deal in the 'Hibernating' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Cancelled (Ecommerce Pipeline)""","hs_v2_cumulative_time_in_247146950","number","The cumulative time in seconds spent by the deal in the 'Cancelled' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Checkout Abandoned (Ecommerce Pipeline)""","hs_v2_cumulative_time_in_249005754","number","The cumulative time in seconds spent by the deal in the 'Checkout Abandoned' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Checkout Pending (Ecommerce Pipeline)""","hs_v2_cumulative_time_in_249005755","number","The cumulative time in seconds spent by the deal in the 'Checkout Pending' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Checkout Completed (Ecommerce Pipeline)""","hs_v2_cumulative_time_in_249005756","number","The cumulative time in seconds spent by the deal in the 'Checkout Completed' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Processed (Ecommerce Pipeline)""","hs_v2_cumulative_time_in_249005757","number","The cumulative time in seconds spent by the deal in the 'Processed' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Cumulative time in ""Purchased (Ecommerce Pipeline)""","hs_v2_cumulative_time_in_63183310","number","The cumulative time in seconds spent by the deal in the 'Purchased' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""(Online) Meeting (High Touch Pipeline)""","hs_v2_date_entered_142245866","datetime","The date and time when the deal entered the '(Online) Meeting' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""(Online) Vervolgmeeting (High Touch Pipeline)""","hs_v2_date_entered_142245867","datetime","The date and time when the deal entered the '(Online) Vervolgmeeting' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Overeenkomst / akkoord (High Touch Pipeline)""","hs_v2_date_entered_142245868","datetime","The date and time when the deal entered the 'Overeenkomst / akkoord' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Deal Won (High Touch Pipeline)""","hs_v2_date_entered_142245869","datetime","The date and time when the deal entered the 'Deal Won' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Deal Lost (High Touch Pipeline)""","hs_v2_date_entered_142245870","datetime","The date and time when the deal entered the 'Deal Lost' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Contact data added (No/Low Touch Pipeline)""","hs_v2_date_entered_142246082","datetime","The date and time when the deal entered the 'Contact data added' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Phone number added (No/Low Touch Pipeline)""","hs_v2_date_entered_142246083","datetime","The date and time when the deal entered the 'Phone number added' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Submission succesful (No/Low Touch Pipeline)""","hs_v2_date_entered_142246084","datetime","The date and time when the deal entered the 'Submission succesful' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Screening done (No/Low Touch Pipeline)""","hs_v2_date_entered_142246085","datetime","The date and time when the deal entered the 'Screening done' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""IBAN addd (No/Low Touch Pipeline)""","hs_v2_date_entered_175667432","datetime","The date and time when the deal entered the 'IBAN addd' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Closed lost (No/Low Touch Pipeline)""","hs_v2_date_entered_175667433","datetime","The date and time when the deal entered the 'Closed lost' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""At Risk (Churn Pipeline)""","hs_v2_date_entered_239595508","datetime","The date and time when the deal entered the 'At Risk' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Need Attention (Churn Pipeline)""","hs_v2_date_entered_239595509","datetime","The date and time when the deal entered the 'Need Attention' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Potential Loyalist  (Churn Pipeline)""","hs_v2_date_entered_239595510","datetime","The date and time when the deal entered the 'Potential Loyalist ' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Loyal (Churn Pipeline)""","hs_v2_date_entered_239595511","datetime","The date and time when the deal entered the 'Loyal' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Champion (Churn Pipeline)""","hs_v2_date_entered_239595512","datetime","The date and time when the deal entered the 'Champion' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Closed won (Churn Pipeline)""","hs_v2_date_entered_239595513","datetime","The date and time when the deal entered the 'Closed won' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Closed lost (Churn Pipeline)""","hs_v2_date_entered_239595706","datetime","The date and time when the deal entered the 'Closed lost' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Hibernating (Churn Pipeline)""","hs_v2_date_entered_239595707","datetime","The date and time when the deal entered the 'Hibernating' stage, 'Churn Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Cancelled (Ecommerce Pipeline)""","hs_v2_date_entered_247146950","datetime","The date and time when the deal entered the 'Cancelled' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Checkout Abandoned (Ecommerce Pipeline)""","hs_v2_date_entered_249005754","datetime","The date and time when the deal entered the 'Checkout Abandoned' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Checkout Pending (Ecommerce Pipeline)""","hs_v2_date_entered_249005755","datetime","The date and time when the deal entered the 'Checkout Pending' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Checkout Completed (Ecommerce Pipeline)""","hs_v2_date_entered_249005756","datetime","The date and time when the deal entered the 'Checkout Completed' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Processed (Ecommerce Pipeline)""","hs_v2_date_entered_249005757","datetime","The date and time when the deal entered the 'Processed' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date entered ""Purchased (Ecommerce Pipeline)""","hs_v2_date_entered_63183310","datetime","The date and time when the deal entered the 'Purchased' stage, 'Ecommerce Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""(Online) Meeting (High Touch Pipeline)""","hs_v2_date_exited_142245866","datetime","The date and time when the deal exited the '(Online) Meeting' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""(Online) Vervolgmeeting (High Touch Pipeline)""","hs_v2_date_exited_142245867","datetime","The date and time when the deal exited the '(Online) Vervolgmeeting' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""Overeenkomst / akkoord (High Touch Pipeline)""","hs_v2_date_exited_142245868","datetime","The date and time when the deal exited the 'Overeenkomst / akkoord' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""Deal Won (High Touch Pipeline)""","hs_v2_date_exited_142245869","datetime","The date and time when the deal exited the 'Deal Won' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""Deal Lost (High Touch Pipeline)""","hs_v2_date_exited_142245870","datetime","The date and time when the deal exited the 'Deal Lost' stage, 'High Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""Contact data added (No/Low Touch Pipeline)""","hs_v2_date_exited_142246082","datetime","The date and time when the deal exited the 'Contact data added' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""Phone number added (No/Low Touch Pipeline)""","hs_v2_date_exited_142246083","datetime","The date and time when the deal exited the 'Phone number added' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""Submission succesful (No/Low Touch Pipeline)""","hs_v2_date_exited_142246084","datetime","The date and time when the deal exited the 'Submission succesful' stage, 'No/Low Touch Pipeline' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot",""
